Step;avg_deliberation;avg_imitation;avg_repetition;avg_social;avg_utility;std_deliberation;std_imitation;std_repetition;std_social;std_utility
148;9.266666666666667;0.0;0.0;0.0;90.6;1,8696;0,0000;0,0000;0,0000;11,2237
149;9.333333333333334;0.0;0.0;0.0;90.93333333333334;3,9940;0,0000;0,0000;0,0000;9,1766
150;10.866666666666667;0.0;0.0;0.0;89.53333333333333;1,9952;0,0000;0,0000;0,0000;9,7751
151;11.133333333333333;0.0;0.13333333333333336;0.0;91.53333333333333;2,5598;0,0000;0,3519;0,0000;7,8182
152;8.333333333333334;0.0;0.06666666666666668;0.0;92.13333333333334;2,7430;0,0000;0,2582;0,0000;9,3034
153;10.066666666666666;0.0;0.0;0.0;91.33333333333333;2,7115;0,0000;0,0000;0,0000;11,0303
154;10.466666666666667;0.0;0.0;0.0;91.4;3,7771;0,0000;0,0000;0,0000;11,5993
155;10.533333333333333;0.0;0.0;0.0;89.26666666666667;3,8520;0,0000;0,0000;0,0000;10,3818
156;9.533333333333333;0.0;0.0;0.0;88.46666666666667;3,3352;0,0000;0,0000;0,0000;9,5234
157;9.133333333333333;0.0;0.0;0.0;93.13333333333334;3,8148;0,0000;0,0000;0,0000;12,6484
158;10.6;0.0;0.06666666666666668;0.0;87.06666666666666;4,9106;0,0000;0,2582;0,0000;9,8014
159;8.666666666666666;0.0;0.0;0.0;94.06666666666666;3,3310;0,0000;0,0000;0,0000;8,5479
160;11.666666666666666;0.0;0.0;0.0;93.53333333333333;3,2219;0,0000;0,0000;0,0000;13,0869
161;10.6;0.0;0.0;0.0;94.0;2,0976;0,0000;0,0000;0,0000;9,1885
162;10.533333333333333;0.0;0.0;0.0;89.73333333333333;2,2949;0,0000;0,0000;0,0000;8,3876
163;9.066666666666666;0.0;0.0;0.0;92.8;2,3135;0,0000;0,0000;0,0000;8,8737
164;9.6;0.0;0.0;0.0;92.06666666666666;3,8693;0,0000;0,0000;0,0000;9,1688
165;8.4;0.0;0.0;0.0;89.6;4,2054;0,0000;0,0000;0,0000;13,1681
166;8.333333333333334;0.0;0.0;0.0;93.6;3,7161;0,0000;0,0000;0,0000;6,7273
167;11.6;0.0;0.0;0.0;93.13333333333334;2,6939;0,0000;0,0000;0,0000;8,8952
168;11.8;0.0;0.0;0.0;91.93333333333334;3,6684;0,0000;0,0000;0,0000;8,9160
169;10.733333333333333;0.0;0.0;0.0;93.13333333333334;3,1952;0,0000;0,0000;0,0000;12,4377
170;11.8;0.0;0.0;0.0;97.2;3,0519;0,0000;0,0000;0,0000;5,8822
171;11.0;0.0;0.06666666666666668;0.0;94.13333333333334;1,4142;0,0000;0,2582;0,0000;11,0121
172;9.6;0.0;0.0;0.0;89.2;3,8693;0,0000;0,0000;0,0000;7,8395
173;9.6;0.0;0.0;0.0;92.6;2,4437;0,0000;0,0000;0,0000;9,3182
174;10.733333333333333;0.0;0.0;0.0;91.6;3,5146;0,0000;0,0000;0,0000;7,1494
175;9.333333333333334;0.0;0.06666666666666668;0.0;91.06666666666666;2,5542;0,0000;0,2582;0,0000;10,1662
176;10.533333333333333;0.0;0.0;0.0;91.06666666666666;3,7960;0,0000;0,0000;0,0000;8,6228
177;9.866666666666667;0.0;0.0;0.0;90.13333333333334;4,3567;0,0000;0,0000;0,0000;7,3179
178;10.0;0.0;0.06666666666666668;0.0;89.06666666666666;2,7516;0,0000;0,2582;0,0000;8,8194
179;9.866666666666667;0.0;0.0;0.0;92.86666666666666;3,9255;0,0000;0,0000;0,0000;8,5178
180;10.266666666666667;0.0;0.0;0.0;90.0;2,7377;0,0000;0,0000;0,0000;9,0396
181;11.133333333333333;0.0;0.0;0.0;92.66666666666667;3,9437;0,0000;0,0000;0,0000;8,7233
182;10.333333333333334;0.0;0.13333333333333333;0.0;93.53333333333333;3,0628;0,0000;0,3519;0,0000;8,3569
183;10.666666666666666;0.0;0.06666666666666667;0.0;91.93333333333334;2,7430;0,0000;0,2582;0,0000;11,8470
184;11.733333333333333;0.0;0.0;0.0;90.0;2,8652;0,0000;0,0000;0,0000;7,2899
185;10.866666666666667;0.0;0.0;0.0;91.46666666666667;3,9255;0,0000;0,0000;0,0000;8,1580
186;10.666666666666666;0.0;0.06666666666666667;0.0;90.53333333333333;3,9219;0,0000;0,2582;0,0000;9,8551
187;10.8;0.0;0.0;0.0;92.4;3,1893;0,0000;0,0000;0,0000;7,1694
188;9.4;0.0;0.0;0.0;90.33333333333333;2,7723;0,0000;0,0000;0,0000;7,9072
189;10.8;0.0;0.0;0.0;96.0;3,3209;0,0000;0,0000;0,0000;8,4515
190;11.133333333333333;0.0;0.0;0.0;93.33333333333333;3,6423;0,0000;0,0000;0,0000;10,2097
191;10.066666666666666;0.0;0.0;0.0;95.0;3,4737;0,0000;0,0000;0,0000;12,2416
192;12.2;0.0;0.0;0.0;92.4;4,9164;0,0000;0,0000;0,0000;10,5681
193;9.066666666666666;0.0;0.0;0.0;91.66666666666667;2,9873;0,0000;0,0000;0,0000;8,3038
194;9.266666666666667;0.0;0.06666666666666668;0.0;92.06666666666666;2,8900;0,0000;0,2582;0,0000;11,9730
195;11.0;0.0;0.0;0.0;93.8;4,6904;0,0000;0,0000;0,0000;7,8667
196;9.933333333333334;0.0;0.06666666666666668;0.0;94.33333333333333;3,3481;0,0000;0,2582;0,0000;6,5101
197;11.2;0.0;0.0;0.0;95.13333333333334;3,2338;0,0000;0,0000;0,0000;6,9371
198;11.866666666666667;0.0;0.0;0.0;92.8;3,2042;0,0000;0,0000;0,0000;9,2752
199;10.266666666666667;0.0;0.0;0.0;95.13333333333334;3,1502;0,0000;0,0000;0,0000;8,7901
200;10.666666666666666;0.0;0.0;0.0;93.73333333333333;2,9196;0,0000;0,0000;0,0000;8,2675
201;9.6;0.0;0.0;0.0;92.06666666666666;3,0892;0,0000;0,0000;0,0000;9,2618
202;10.066666666666666;0.0;0.0;0.0;91.46666666666667;3,3693;0,0000;0,0000;0,0000;11,5873
203;10.533333333333333;0.0;0.0;0.0;94.86666666666666;3,0907;0,0000;0,0000;0,0000;9,9274
204;11.4;0.0;0.0;0.0;93.33333333333333;3,6606;0,0000;0,0000;0,0000;9,7955
205;9.933333333333334;0.0;0.06666666666666668;0.0;93.33333333333333;3,1728;0,0000;0,2582;0,0000;7,6873
206;11.466666666666667;0.0;0.06666666666666668;0.0;92.66666666666667;3,5830;0,0000;0,2582;0,0000;12,4193
207;9.866666666666667;0.0;0.0;0.0;90.86666666666666;2,9244;0,0000;0,0000;0,0000;8,1229
208;10.866666666666667;0.0;0.0;0.0;90.86666666666666;1,6847;0,0000;0,0000;0,0000;8,5094
209;8.6;0.0;0.06666666666666668;0.0;94.0;3,1351;0,0000;0,2582;0,0000;10,8956
210;10.466666666666667;0.0;0.0;0.0;90.8;2,7482;0,0000;0,0000;0,0000;4,9454
211;9.8;0.0;0.0;0.0;91.2;3,8582;0,0000;0,0000;0,0000;10,1714
212;11.466666666666667;0.0;0.0;0.0;92.73333333333333;2,7997;0,0000;0,0000;0,0000;8,0929
213;9.933333333333334;0.0;0.0;0.0;90.0;2,6583;0,0000;0,0000;0,0000;8,6437
